index,Term,Slug,Excerpt,,Alphabet
1,Acknowledge,acknowledge,Acknowledge is the act of confirming receipt of an incident alert and taking initial ownership of the response.,,A
2,Acknowledgement Time,acknowledge-time,Acknowledgement Time is the duration between when an incident alert is triggered and when a responder confirms receipt of the alert.,,A
3,Actionable Alert,actionable-alert,"An actionable alert is a notification that provides clear, specific information about an incident that requires immediate attention and includes enough context for responders to take appropriate action.",,A
4,Adaptive Response Systems,adaptive-response-systems,Adaptive Response Systems are intelligent incident management frameworks that learn from past incidents and automatically adjust their response strategies based on changing conditions and outcomes.,,A
5,Affected Service,affected-service,"An Affected Service is any system, application, infrastructure component, or business function that experiences degraded performance or complete failure during an incident.",,A
6,After-Action Review,after-action-review,"An After-Action Review (AAR) is a structured analysis conducted after an incident to identify what happened, why it happened, and how to improve future responses.",,A
7,AI Incident Prediction,ai-incident-prediction,"AI Incident Prediction uses machine learning algorithms to forecast potential incidents before they occur by analyzing patterns in system metrics, user behavior, and historical data.",,A
8,AI Triage,ai-triage,"AI Triage is the use of artificial intelligence to automatically assess and categorize incoming incidents based on their description, affected systems, and potential impact.",,A
9,AI-Assisted Incident Response,ai-assisted-incident-response,AI-Assisted Incident Response uses artificial intelligence to support human responders during incident management.,,A
10,AI-Driven Root Cause Analysis,ai-driven-root-cause-analysis,"AI-Driven Root Cause Analysis uses machine learning algorithms to identify the underlying causes of incidents by analyzing system logs, metrics, events, and historical incident data.",,A
11,AIOps,aiops,"AIOps (Artificial Intelligence for IT Operations) is a technology approach that combines machine learning, big data analytics, and automation to improve incident management processes.",,A
12,Alert Aggregation,alert-aggregation,Alert Aggregation is the process of combining multiple related alerts into a single notification or incident.,,A
13,Alert Correlation,alert-correlation,Alert Correlation is the process of identifying relationships between different alerts to determine their common cause or connection.,,A
14,Alert Deduplication,alert-deduplication,Alert Deduplication is the process of identifying and removing duplicate alerts for the same issue.,,A
15,Alert Enrichment,alert-enrichment,Alert Enrichment is the process of automatically adding relevant context and information to alerts before they reach responders.,,A
16,Alert Fatigue,alert-fatigue,"Alert fatigue is a condition where incident responders become desensitized to notifications due to receiving too many alerts, particularly false positives.",,A
17,Alert Filtering,alert-filtering,Alert filtering is a process that screens incoming alerts based on predefined criteria to reduce noise and highlight significant notifications.,,A
18,Alert Management Dashboard,alert-management-dashboard,"An alert management dashboard is a centralized visual interface that displays real-time information about active alerts, their status, priority levels, and assigned responders.",,A
19,Alert Noise,alert-noise,"Alert noise refers to the excessive, often irrelevant notifications generated by monitoring systems that don't require immediate action.",,A
20,Alert Prioritization,alert-prioritization,"Alert prioritization is the process of assigning importance levels to incoming alerts based on business impact, urgency, and severity.",,A
21,Alert Routing,alert-routing,"Alert routing is the process of directing incident notifications to the appropriate individuals or teams based on factors like incident type, severity, affected systems, and team expertise.",,A
22,Alert Suppression,alert-suppression,"Alert suppression is the temporary or conditional blocking of specific alerts to prevent notification fatigue during known issues, maintenance periods, or non-actionable events.",,A
23,Alert Threshold,alert-threshold,"An alert threshold is a predefined value or condition that, when crossed, triggers an incident notification.",,A
24,Alert,alert,"An Alert is a notification triggered when a monitored system, application, or service exceeds predefined thresholds or exhibits abnormal behavior.",,A
25,Algorithmic Alert Correlation,algorithmic-alert-correlation,"Algorithmic Alert Correlation is a technique that uses mathematical algorithms to identify relationships between multiple alerts, grouping related alerts together to reduce noise and highlight the underlying issue.",,A
26,Algorithmic Incident Classification,algorithmic-incident-classification,"Algorithmic Incident Classification uses machine learning algorithms to automatically categorize incidents based on their characteristics, severity, and potential impact.",,A
27,Andon Cord,andon-cord,"An Andon Cord is a concept from lean manufacturing adapted for incident management, representing a mechanism that allows any team member to halt operations when they detect a critical issue.",,A
28,Anomaly Detection,anomaly-detection,Anomaly detection in incident management is the automated process of identifying unusual patterns or behaviors that deviate from expected system performance.,,A
29,Anomaly-Based Detection,anamoly-based-detection,Anomaly-Based Detection is a monitoring approach that identifies unusual patterns or behaviors in systems that deviate from established baselines.,,A
30,Anomaly,anomaly,An anomaly in incident management is an unexpected deviation from normal system behavior that may indicate a problem.,,A
31,Anticipatory Incident Management,anticipatory-incident-management,"Anticipatory Incident Management is a forward-looking approach that uses predictive analytics, historical patterns, and contextual awareness to identify and address potential incidents before they occur.",,A
32,Asset Management,asset-management,"Asset management is the systematic process of deploying, operating, maintaining, and disposing of the resources that support incident response.",,A
33,Asset,asset,"In incident management, an asset is any component of an organization's IT infrastructure that needs to be monitored, maintained, and protected.",,A
34,Assigned Incident,assigned-incident,An assigned incident is an issue that has been formally allocated to a specific individual or team for investigation and resolution.,,A
35,Asynchronous Communication,asynchronous-communication,Asynchronous communication in incident management refers to the exchange of information that doesn't require immediate responses from all participants.,,A
36,Attack Surface,attack-surface,Attack surface in incident management refers to the total sum of points where unauthorized users could potentially access systems or data.,,A
37,Attack Vector,attack-vector,"An attack vector is a specific path or method that an attacker uses to gain unauthorized access to a system, network, or application during a security incident.",,A
38,Audit Log,audit-log,"An audit log in incident management is a chronological record of all actions taken during an incident, including who performed each action, what was done, and when it occurred.",,A
39,Audit Trail,audit-trail,"An audit trail in incident management is a secure, comprehensive record that documents the sequence of activities from incident detection through resolution, creating an unalterable history of all actions and decisions.",,A
40,Audit,audit,"An audit in incident management is a systematic review of incident records, response procedures, and resolution processes to verify compliance with established protocols and identify areas for improvement.",,A
41,Automated Escalation,automated-escalation,"Automated escalation is a process that automatically routes alerts to additional or higher-level responders when certain conditions are met, such as time thresholds or severity levels.",,A
42,Automated Incident Creation,automated-incident-creation,Automated Incident Creation is a process that automatically generates incident tickets or records when monitoring systems detect an issue or anomaly.,,A
43,Automated Incident Routing,automated-incident-routing,Automated Incident Routing is the process of automatically assigning incidents to the appropriate teams or individuals based on predefined rules and criteria.,,A
44,Automated Notification,automated-notification,Automated Notification is a system that sends alerts to relevant stakeholders when incidents occur or change status.,,A
45,Automated Remediation,automated-remediation,Automated remediation is the process of using technology to automatically fix issues without human intervention when incidents occur.,,A
46,Automated Response,automated-response,Automated response in incident management is a system-driven reaction to detected incidents based on predefined rules and workflows.,,A
47,Automated Severity Assignment,automated-severity-assignment,Automated Severity Assignment is a process that automatically categorizes incidents by their impact and urgency using predefined criteria.,,A
48,Automated Status Updates,automated-status-updates,Automated Status Updates are system-generated communications that inform stakeholders about incident progress without manual intervention.,,A
49,Automated Triage Workflow,automated-triage-workflow,"Automated Triage Workflow is a systematic process that uses predefined rules and algorithms to automatically categorize, prioritize, and route incidents to the appropriate teams or individuals without manual intervention.",,A
50,Automated Triage,automated-triage,"Automated Triage is a process that uses predefined rules and algorithms to automatically assess, categorize, and prioritize incoming incidents without human intervention.",,A
51,Automation,automation,"Automation in incident management is the use of technology to perform repetitive tasks without human intervention, including alert generation, ticket creation, initial diagnostics, and routine remediation actions.",,A
52,Autonomous Incident Resolution,autonomous-incident-resolution,"Autonomous Incident Resolution is an advanced incident management approach where systems automatically detect, diagnose, and resolve incidents without human intervention.",,A
53,Autonomous Remediation,autonomous-remediation,Autonomous Remediation is the automated execution of corrective actions to resolve incidents or problems in IT systems without human intervention.,,A
54,Backup Responder,backup-responder,A Backup Responder is a designated individual who steps in when the primary on-call responder is unavailable during an incident.,,B
55,Backup,backup,A Backup in incident management refers to both data backup systems and backup personnel.,,B
56,Baseline,baseline,"A baseline is a documented, normal state of system performance, security, or operations that serves as a reference point for comparison.",,B
57,Behavioral Analytics,behavioral-analytics,Behavioral Analytics in incident management is the process of analyzing patterns in system behavior to identify anomalies that may indicate incidents before they cause significant impact.,,B
58,Bi-directional Integration,bi-directional-integration,Bi-directional Integration in incident management allows systems to both send and receive data between platforms.,,B
59,Blackout Period,blackout-period,"A Blackout Period is a predetermined timeframe during which system changes, updates, or maintenance activities are prohibited.",,B
60,Blameless Culture,blameless-culture,A blameless culture in incident management is an approach that focuses on learning from failures without assigning fault to individuals.,,B
61,Blameless Postmortem,blameless-postmortem,A blameless postmortem is a collaborative analysis of an incident that focuses on identifying systemic issues and opportunities for improvement without assigning blame to individuals.,,B
62,Blockchain Incident Monitoring,blockchain-incident-monitoring,"Blockchain Incident Monitoring is the practice of tracking and responding to security events, performance issues, and anomalies in blockchain networks and applications.",,B
63,Bot-Assisted Triage,bot-assisted-triage,Bot-assisted triage is an incident management approach that uses automated bots to perform initial assessment and categorization of incoming incidents.,,B
64,Bottleneck,bottleneck,A Bottleneck in incident management is a point in the response process that limits overall efficiency and extends resolution time.,,B
65,Breach,breach,"A breach is an incident where unauthorized access to systems, networks, or data occurs, potentially compromising confidentiality, integrity, or availability of information.",,B
66,Break-Fix,break-fix,Break-fix is a reactive approach to incident management where problems are addressed only after they cause a failure or disruption.,,B
67,Bridge Automation,bridge-automation,Bridge Automation refers to the technology that automatically creates and manages communication channels (like conference calls or chat rooms) when incidents occur.,,B
68,Bridge Call,bridge-call,A Bridge Call is a conference call that brings together incident responders and stakeholders during an active incident.,,B
69,Broadcast Notifications,broadcast-notifications,Broadcast Notifications are emergency communications sent simultaneously to multiple recipients across various channels during critical incidents.,,B
70,Bug,bug,"In incident management, a bug is a flaw or error in software or hardware that causes a system to produce unexpected or incorrect results.",,B
71,Bulk Alert Management,bulk-alert-management,Bulk Alert Management is a capability that allows incident teams to handle multiple related alerts simultaneously.,,B
72,Burnout Prevention Algorithms,burnout-prevention-algorithms,"Burnout prevention algorithms are computational systems that analyze on-call workloads, incident response patterns, and team metrics to identify potential responder burnout before it occurs.",,B
73,Burnout,burnout,"Burnout in incident management is a state of chronic physical and emotional exhaustion experienced by responders due to prolonged stress, frequent high-pressure incidents, and interrupted work-life balance.",,B
74,Business Continuity Plan (BCP),business-continuity-plan-bcp,A Business Continuity Plan (BCP) is a documented strategy that outlines how an organization will continue operating during unplanned disruptions in service.,,B
75,Business Continuity,business-continuity,Business Continuity is the capability of an organization to maintain essential functions during and after a disaster or major incident.,,B
76,Business Impact Analysis (BIA),business-impact-analysis-bia,Business Impact Analysis is a systematic process that identifies and evaluates the potential effects of an interruption to critical business operations.,,B
77,Business Impact Dashboard,business-impact-dashboard,A Business Impact Dashboard is a visual display that shows how incidents affect business metrics and customer experience in real-time.,,B
78,Business Service Intelligence,business-service-intelligence,Business service intelligence is the practice of mapping incidents to business services and analyzing their impact on organizational objectives.,,B
79,Business Service Mapping,business-service-mapping,Business Service Mapping is the process of documenting relationships between IT components and the business services they support.,,B
80,Business Service,business-service,A business service is a set of related functions that support core business activities.,,B
81,Categorization,categorization,"Categorization in incident management is the process of classifying incidents based on their type, impact, urgency, or other relevant attributes.",,C
82,Centralized Incident Dashboard,centralized-dashboard,A Centralized Incident Dashboard is a unified visual interface that displays real-time information about all ongoing incidents across an organization.,,C
83,Chain Of Command,chain-of-command,Chain of Command in incident management is a hierarchical structure that defines reporting relationships and decision-making authority during incidents.,,C
84,Change Management,change-management,"Change Management is a structured approach to implementing and tracking modifications to IT systems, infrastructure, or processes.",,C
85,Chaos Engineering,chaos-engineering,Chaos Engineering is the practice of deliberately introducing controlled failures into a system to test its resilience and identify weaknesses before they cause real incidents.,,C
86,Cloud Native Incident Management,cloud-native-incident-management,"Cloud Native Incident Management is an approach to handling incidents specifically designed for containerized, microservice-based applications running in cloud environments.",,C
87,Cognitive Incident Analysis,cognitive-incident-analysis,"Cognitive Incident Analysis is an advanced approach to understanding incidents that examines the mental processes, decision-making patterns, and cognitive factors that influenced how teams responded to problems.",,C
88,Collaborative Incident Response,collaborative-incident-response,"Collaborative Incident Response is an approach where multiple teams work together to resolve incidents using shared tools, communication channels, and processes.",,C
89,Collaborative Resolution,collaborative-resolution,Collaborative resolution is an incident management approach where cross-functional teams work together to solve complex incidents.,,C
90,Command and Control,command-and-control,Command and Control is a structured management approach used in incident response that establishes clear leadership roles and decision-making authority.,,C
91,Command Center,command-center,"A command center is a centralized hub for monitoring, managing, and coordinating responses to incidents across an organization.",,C
92,Command Post,command-post,"A Command Post is a designated physical or virtual location where incident response leaders gather during major incidents to coordinate activities, make decisions, and communicate with stakeholders.",,C
93,Compliance,compliance,"Compliance in incident management refers to adhering to regulatory requirements, industry standards, and internal policies when handling and resolving incidents.",,C
94,Computer Security Incident Response Team (CSIRT),computer-security-incident-reponse-team-csirt,"A Computer Security Incident Response Team (CSIRT) is a specialized group responsible for receiving, analyzing, and responding to computer security incidents.",,C
95,Configurable Workflows,configurable-workflows,"Configurable workflows are customizable, automated processes that guide incident response teams through predefined steps.",,C
96,Configuration Item (CI),configuration-item-ci,A Configuration Item (CI) is any component that needs to be managed to deliver an IT service.,,C
97,Containerized Recovery,containerized recovery,Containerized Recovery is an incident management approach that uses container technology to quickly restore services after an incident.,,C
98,Containment,containment,Containment is the process of limiting the scope and impact of an active incident to prevent it from spreading or causing additional damage.,,C
99,Context Enrichment,context-enrichment,"Context enrichment is the process of adding relevant information to incident alerts, providing responders with a more comprehensive understanding of the issue.",,C
100,Contextual Intelligence,contextual-intelligence,Contextual Intelligence in incident management is the ability to automatically gather and present relevant information about an incident based on its specific characteristics.,,C
101,Continuous Monitoring,continuous-monitoring,"Continuous Monitoring is the ongoing surveillance of IT systems, networks, and applications to detect incidents, anomalies, or security breaches in real-time.",,C
102,Continuous Resilience,continuous-resilience,"Continuous Resilience is an approach to incident management that focuses on constantly improving an organization's ability to withstand, adapt to, and recover from disruptions.",,C
103,Correlation Rules,correlation-rules,Correlation rules are predefined logic sets that help identify relationships between multiple events or alerts.,,C
